Batch,Sample Type,Inject Order,Sample Name,File Name,Bio Group
B2,Sample,259,B2-263,P0014_6600_0301_POS_B2-263_50-2uL_C18-25.5min_R90,SG-2
B2,Sample,260,B2-264,P0014_6600_0301_POS_B2-264_50-2uL_C18-25.5min_R91,SG-2
B2,Sample,261,B2-265,P0014_6600_0301_POS_B2-265_50-2uL_C18-25.5min_R92,SG-2
B2,Sample,262,B2-266,P0014_6600_0301_POS_B2-266_50-2uL_C18-25.5min_R93,SG-2
B2,QC,263,QC2-8,P0014_6600_0301_POS_QC2-8_50-2uL_C18-25.5min_R94,Invalid
B2,Sample,265,B2-267,P0014_6600_0301_POS_B2-267_50-2uL_C18-25.5min_R96,SG-2
B2,Sample,266,B2-268,P0014_6600_0301_POS_B2-268_50-2uL_C18-25.5min_R97,SG-2
B2,Sample,267,B2-269,P0014_6600_0301_POS_B2-269_50-2uL_C18-25.5min_R98,SG-0
B2,Sample,268,B2-270,P0014_6600_0301_POS_B2-270_50-2uL_C18-25.5min_R99,SG-0
B2,Sample,269,B2-271,P0014_6600_0301_POS_B2-271_50-2uL_C18-25.5min_R100,SG-0
B2,Sample,270,B2-272,P0014_6600_0301_POS_B2-272_50-2uL_C18-25.5min_R101,SG-0
B2,Sample,271,B2-273,P0014_6600_0301_POS_B2-273_50-2uL_C18-25.5min_R102,SG-0
B2,Sample,272,B2-274,P0014_6600_0301_POS_B2-274_50-2uL_C18-25.5min_R103,SG-0
B2,Sample,273,B2-275,P0014_6600_0301_POS_B2-275_50-2uL_C18-25.5min_R104,SG-2
B2,Sample,274,B2-276,P0014_6600_0301_POS_B2-276_50-2uL_C18-25.5min_R105,SG-0
B2,QC,275,QC2-9,P0014_6600_0301_POS_QC2-9_50-2uL_C18-25.5min_R106,Invalid
B2,Blank,276,BLANK2-7,P0014_6600_0301_POS_BLANK2-8_50-2uL_C18-25.5min_R107,Invalid
B2,Sample,277,B2-277,P0014_6600_0301_POS_B2-277_50-2uL_C18-25.5min_R108,SG-2
B2,Sample,278,B2-278,P0014_6600_0301_POS_B2-278_50-2uL_C18-25.5min_R109,SG-0
B2,Sample,279,B2-280,P0014_6600_0301_POS_B2-280_50-2uL_C18-25.5min_R110,SG-0
B2,Sample,280,B2-281,P0014_6600_0301_POS_B2-281_50-2uL_C18-25.5min_R111,SG-2
B2,Sample,281,B2-284,P0014_6600_0301_POS_B2-284_50-2uL_C18-25.5min_R112,SG-2
B2,Sample,282,B2-285,P0014_6600_0301_POS_B2-285_50-2uL_C18-25.5min_R113,SG-0
B2,Sample,283,B2-286,P0014_6600_0301_POS_B2-286_50-2uL_C18-25.5min_R114,SG-2
B2,Sample,284,B2-287,P0014_6600_0301_POS_B2-287_50-2uL_C18-25.5min_R115,SG-2
B2,Sample,285,B2-288,P0014_6600_0301_POS_B2-288_50-2uL_C18-25.5min_R116,SG-2
B2,Sample,286,B2-289,P0014_6600_0301_POS_B2-289_50-2uL_C18-25.5min_R117,SG-0
B2,QC,287,QC2-10,P0014_6600_0301_POS_QC2-10_50-2uL_C18-25.5min_R118,Invalid
B2,Sample,289,B2-293,P0014_6600_0301_POS_B2-293_50-2uL_C18-25.5min_R120,SG-2
B2,Sample,290,B2-294,P0014_6600_0301_POS_B2-294_50-2uL_C18-25.5min_R121,SG-2
B2,Sample,291,B2-295,P0014_6600_0301_POS_B2-295_50-2uL_C18-25.5min_R122,SG-2
B2,Sample,292,B2-296,P0014_6600_0301_POS_B2-296_50-2uL_C18-25.5min_R123,SG-0
B2,Sample,293,B2-297,P0014_6600_0301_POS_B2-297_50-2uL_C18-25.5min_R124,SG-2
B2,Sample,294,B2-298,P0014_6600_0301_POS_B2-298_50-2uL_C18-25.5min_R125,SG-2
B2,Sample,295,B2-300,P0014_6600_0301_POS_B2-300_50-2uL_C18-25.5min_R126,SG-0
B2,Sample,296,B2-304,P0014_6600_0301_POS_B2-304_50-2uL_C18-25.5min_R127,SG-2
B2,Sample,297,B2-305,P0014_6600_0301_POS_B2-305_50-2uL_C18-25.5min_R128,SG-2
B2,Sample,298,B2-306,P0014_6600_0301_POS_B2-306_50-2uL_C18-25.5min_R129,SG-2
B2,QC,299,QC2-11,P0014_6600_0301_POS_QC2-11_50-2uL_C18-25.5min_R130,Invalid
B2,Sample,301,B2-307,P0014_6600_0301_POS_B2-307_50-2uL_C18-25.5min_R132,SG-2
B2,Sample,302,B2-310,P0014_6600_0301_POS_B2-310_50-2uL_C18-25.5min_R133,SG-2
B2,Sample,303,B2-311,P0014_6600_0301_POS_B2-311_50-2uL_C18-25.5min_R134,SG-2
B2,Sample,304,B2-252,P0014_6600_0301_POS_B2-252_50-2uL_C18-25.5min_R135,SG-2
B2,Sample,305,B2-375,P0014_6600_0301_POS_B2-375_50-2uL_C18-25.5min_R136,SG-2
B2,Sample,306,B2-378,P0014_6600_0301_POS_B2-378_50-2uL_C18-25.5min_R137,SG-0
B2,Sample,307,B2-396,P0014_6600_0301_POS_B2-396_50-2uL_C18-25.5min_R138,SG-2
B2,Sample,308,B2-408,P0014_6600_0301_POS_B2-408_50-2uL_C18-25.5min_R139,SG-2
B2,Sample,309,B2-415,P0014_6600_0301_POS_B2-415_50-2uL_C18-25.5min_R140,SG-0
B2,Sample,310,B2-418,P0014_6600_0301_POS_B2-418_50-2uL_C18-25.5min_R141,SG-2
B2,QC,311,QC2-12,P0014_6600_0301_POS_QC2-12_50-2uL_C18-25.5min_R142,Invalid
B2,Blank,312,BLANK2-8,P0014_6600_0301_POS_BLANK2-8_50-2uL_C18-25.5min_R143,Invalid
B2,Sample,313,B2-421,P0014_6600_0301_POS_B2-421_50-2uL_C18-25.5min_R144,SG-2
B2,Sample,314,B2-427,P0014_6600_0301_POS_B2-427_50-2uL_C18-25.5min_R145,SG-0
B2,Sample,315,B2-430,P0014_6600_0301_POS_B2-430_50-2uL_C18-25.5min_R146,SG-2
B2,Sample,316,B2-432,P0014_6600_0301_POS_B2-432_50-2uL_C18-25.5min_R147,SG-0
B2,Sample,317,B2-434,P0014_6600_0301_POS_B2-434_50-2uL_C18-25.5min_R148,SG-2
B2,Sample,318,B2-436,P0014_6600_0301_POS_B2-436_50-2uL_C18-25.5min_R149,SG-2
B2,Sample,319,B2-442,P0014_6600_0301_POS_B2-442_50-2uL_C18-25.5min_R150,SG-2
B2,Sample,320,B2-444,P0014_6600_0301_POS_B2-444_50-2uL_C18-25.5min_R151,SG-0
B2,Sample,321,B2-445,P0014_6600_0301_POS_B2-445_50-2uL_C18-25.5min_R152,SG-2
B2,Sample,322,B2-446,P0014_6600_0301_POS_B2-446_50-2uL_C18-25.5min_R153,SG-2
B2,QC,323,QC2-13,P0014_6600_0301_POS_QC2-13_50-2uL_C18-25.5min_R154,Invalid
B2,Sample,325,B2-448,P0014_6600_0301_POS_B2-448_50-2uL_C18-25.5min_R156,SG-0
B2,Sample,326,B2-052,P0014_6600_0301_POS_B2-052_50-2uL_C18-25.5min_R157,SG-2
B2,Sample,327,B2-053,P0014_6600_0301_POS_B2-053_50-2uL_C18-25.5min_R158,SG-2
B2,Sample,328,B2-054,P0014_6600_0301_POS_B2-054_50-2uL_C18-25.5min_R159,SG-2
B2,Sample,329,B2-056,P0014_6600_0301_POS_B2-056_50-2uL_C18-25.5min_R160,SG-0
B2,Sample,330,B2-060,P0014_6600_0301_POS_B2-060_50-2uL_C18-25.5min_R161,SG-0
B2,Sample,331,B2-063,P0014_6600_0301_POS_B2-063_50-2uL_C18-25.5min_R162,SG-2
B2,Sample,332,B2-065,P0014_6600_0301_POS_B2-065_50-2uL_C18-25.5min_R163,SG-2
B2,Sample,333,B2-048,P0014_6600_0301_POS_B2-048_50-2uL_C18-25.5min_R164,SG-2
B2,Sample,334,B2-049,P0014_6600_0301_POS_B2-049_50-2uL_C18-25.5min_R165,SG-2
B2,Sample,335,B2-058,P0014_6600_0301_POS_B2-058_50-2uL_C18-25.5min_R166,SG-2
B2,Sample,336,B2-059,P0014_6600_0301_POS_B2-059_50-2uL_C18-25.5min_R167,SG-2
B2,Sample,337,B2-061,P0014_6600_0301_POS_B2-061_50-2uL_C18-25.5min_R168,SG-2
B2,QC,338,QC2-14,P0014_6600_0301_POS_QC2-14_50-2uL_C18-25.5min_R169,Invalid
B3,Blank,339,BLANK3-1,P0014_6600_0308_POS_BLANK3-1_50-2uL_C18-25.5min_R1,Invalid
B3,Blank,340,BLANK3-2,P0014_6600_0308_POS_BLANK3-2_50-2uL_C18-25.5min_R2,Invalid
B3,Blank,341,BLANK3-3,P0014_6600_0308_POS_BLANK3-3_50-2uL_C18-25.5min_R3,Invalid
B3,Blank,342,BLANK3-4,P0014_6600_0308_POS_BLANK3-4_50-2uL_C18-25.5min_R4,Invalid
B3,QC,349,QC3-1,P0014_6600_0308_POS_QC3-1_50-2uL_C18-25.5min_R11,Invalid
B3,Sample,352,B3-083,P0014_6600_0308_POS_B3-083_50-2uL_C18-25.5min_R14,SG-2
B3,Sample,353,B3-109,P0014_6600_0308_POS_B3-109_50-2uL_C18-25.5min_R15,SG-0
B3,Sample,354,B3-112,P0014_6600_0308_POS_B3-112_50-2uL_C18-25.5min_R16,SG-1
B3,Sample,356,B3-176,P0014_6600_0308_POS_B3-176_50-2uL_C18-25.5min_R18,SG-0
B3,Sample,357,B3-177,P0014_6600_0308_POS_B3-177_50-2uL_C18-25.5min_R19,SG-1
B3,Sample,359,B3-195,P0014_6600_0308_POS_B3-195_50-2uL_C18-25.5min_R21,SG-1
B3,QC,360,QC3-2,P0014_6600_0308_POS_QC3-2_50-2uL_C18-25.5min_R22,Invalid
B3,Sample,362,B3-200,P0014_6600_0308_POS_B3-200_50-2uL_C18-25.5min_R24,SG-1
B3,Sample,363,B3-239,P0014_6600_0308_POS_B3-239_50-2uL_C18-25.5min_R25,SG-2
B3,Sample,364,B3-240,P0014_6600_0308_POS_B3-240_50-2uL_C18-25.5min_R26,SG-0
B3,Sample,365,B3-241,P0014_6600_0308_POS_B3-241_50-2uL_C18-25.5min_R27,SG-1
B3,Sample,367,B3-247,P0014_6600_0308_POS_B3-247_50-2uL_C18-25.5min_R29,SG-1
B3,Sample,368,B3-250,P0014_6600_0308_POS_B3-250_50-2uL_C18-25.5min_R30,SG-1
B3,Sample,370,B3-257,P0014_6600_0308_POS_B3-257_50-2uL_C18-25.5min_R32,SG-1
B3,Sample,371,B3-279,P0014_6600_0308_POS_B3-279_50-2uL_C18-25.5min_R33,SG-0
B3,QC,372,QC3-3,P0014_6600_0308_POS_QC3-3_50-2uL_C18-25.5min_R34,Invalid
B3,Blank,373,BLANK3-5,P0014_6600_0308_POS_BLANK3-5_50-2uL_C18-25.5min_R35,Invalid
B3,Sample,374,B3-282,P0014_6600_0308_POS_B3-282_50-2uL_C18-25.5min_R36,SG-0
B3,Sample,375,B3-283,P0014_6600_0308_POS_B3-283_50-2uL_C18-25.5min_R37,SG-1
B3,Sample,376,B3-290,P0014_6600_0308_POS_B3-290_50-2uL_C18-25.5min_R38,SG-0
B3,Sample,377,B3-291,P0014_6600_0308_POS_B3-291_50-2uL_C18-25.5min_R39,SG-1
B3,Sample,378,B3-292,P0014_6600_0308_POS_B3-292_50-2uL_C18-25.5min_R40,SG-1
B3,Sample,379,B3-299,P0014_6600_0308_POS_B3-299_50-2uL_C18-25.5min_R41,SG-2
B3,Sample,380,B3-309,P0014_6600_0308_POS_B3-309_50-2uL_C18-25.5min_R42,SG-1
B3,Sample,381,B3-312,P0014_6600_0308_POS_B3-312_50-2uL_C18-25.5min_R43,SG-1
B3,Sample,383,B3-314,P0014_6600_0308_POS_B3-314_50-2uL_C18-25.5min_R45,SG-1
B3,QC,384,QC3-4,P0014_6600_0308_POS_QC3-4_50-2uL_C18-25.5min_R46,Invalid
B3,Sample,386,B3-315,P0014_6600_0308_POS_B3-315_50-2uL_C18-25.5min_R48,SG-1
B3,Sample,387,B3-316,P0014_6600_0308_POS_B3-316_50-2uL_C18-25.5min_R49,SG-0
B3,Sample,388,B3-317,P0014_6600_0308_POS_B3-317_50-2uL_C18-25.5min_R50,SG-1
B3,Sample,389,B3-318,P0014_6600_0308_POS_B3-318_50-2uL_C18-25.5min_R51,SG-1
B3,Sample,390,B3-321,P0014_6600_0308_POS_B3-321_50-2uL_C18-25.5min_R52,SG-0
B3,Sample,391,B3-323,P0014_6600_0308_POS_B3-323_50-2uL_C18-25.5min_R53,SG-0
B3,Sample,392,B3-324,P0014_6600_0308_POS_B3-324_50-2uL_C18-25.5min_R54,SG-2
B3,Sample,393,B3-325,P0014_6600_0308_POS_B3-325_50-2uL_C18-25.5min_R55,SG-0
B3,Sample,394,B3-326,P0014_6600_0308_POS_B3-326_50-2uL_C18-25.5min_R56,SG-1
B3,Sample,395,B3-327,P0014_6600_0308_POS_B3-327_50-2uL_C18-25.5min_R57,SG-0
B3,QC,396,QC3-5,P0014_6600_0308_POS_QC3-5_50-2uL_C18-25.5min_R58,Invalid
B3,Sample,398,B3-328,P0014_6600_0308_POS_B3-328_50-2uL_C18-25.5min_R60,SG-0
B3,Sample,399,B3-329,P0014_6600_0308_POS_B3-329_50-2uL_C18-25.5min_R61,SG-1
B3,Sample,400,B3-330,P0014_6600_0308_POS_B3-330_50-2uL_C18-25.5min_R62,SG-0
B3,Sample,401,B3-331,P0014_6600_0308_POS_B3-331_50-2uL_C18-25.5min_R63,SG-0
B3,Sample,402,B3-332,P0014_6600_0308_POS_B3-332_50-2uL_C18-25.5min_R64,SG-1
B3,Sample,405,B3-337,P0014_6600_0308_POS_B3-337_50-2uL_C18-25.5min_R67,SG-2
B3,QC,408,QC3-6,P0014_6600_0308_POS_QC3-6_50-2uL_C18-25.5min_R70,Invalid
B3,Blank,409,BLANK3-6,P0014_6600_0308_POS_BLANK2-6_50-2uL_C18-25.5min_R71,Invalid
B3,Sample,410,B3-340,P0014_6600_0308_POS_B3-340_50-2uL_C18-25.5min_R72,SG-0
B3,Sample,412,B3-342,P0014_6600_0308_POS_B3-342_50-2uL_C18-25.5min_R74,SG-1
B3,Sample,413,B3-343,P0014_6600_0308_POS_B3-343_50-2uL_C18-25.5min_R75,SG-0
B3,Sample,414,B3-344,P0014_6600_0308_POS_B3-344_50-2uL_C18-25.5min_R76,SG-1
B3,Sample,415,B3-345,P0014_6600_0308_POS_B3-345_50-2uL_C18-25.5min_R77,SG-0
B3,Sample,417,B3-348,P0014_6600_0308_POS_B3-348_50-2uL_C18-25.5min_R79,SG-1
B3,Sample,419,B3-350,P0014_6600_0308_POS_B3-350_50-2uL_C18-25.5min_R81,SG-1
B3,QC,420,QC3-7,P0014_6600_0308_POS_QC3-7_50-2uL_C18-25.5min_R82,Invalid
B3,Sample,422,B3-351,P0014_6600_0308_POS_B3-351_50-2uL_C18-25.5min_R84,SG-0
B3,Sample,423,B3-352,P0014_6600_0308_POS_B3-352_50-2uL_C18-25.5min_R85,SG-1
B3,Sample,424,B3-353,P0014_6600_0308_POS_B3-353_50-2uL_C18-25.5min_R86,SG-2
B3,Sample,425,B3-354,P0014_6600_0308_POS_B3-354_50-2uL_C18-25.5min_R87,SG-0
B3,Sample,428,B3-357,P0014_6600_0308_POS_B3-357_50-2uL_C18-25.5min_R90,SG-0
B3,Sample,429,B3-358,P0014_6600_0308_POS_B3-358_50-2uL_C18-25.5min_R91,SG-1
B3,Sample,430,B3-359,P0014_6600_0308_POS_B3-359_50-2uL_C18-25.5min_R92,SG-0
B3,QC,432,QC3-8,P0014_6600_0308_POS_QC3-8_50-2uL_C18-25.5min_R94,Invalid
B3,Sample,435,B3-362,P0014_6600_0308_POS_B3-362_50-2uL_C18-25.5min_R97,SG-1
B3,Sample,436,B3-363,P0014_6600_0308_POS_B3-363_50-2uL_C18-25.5min_R98,SG-1
B3,Sample,437,B3-364,P0014_6600_0308_POS_B3-364_50-2uL_C18-25.5min_R99,SG-2
B3,Sample,438,B3-365,P0014_6600_0308_POS_B3-365_50-2uL_C18-25.5min_R100,SG-1
B3,Sample,439,B3-366,P0014_6600_0308_POS_B3-366_50-2uL_C18-25.5min_R101,SG-0
B3,Sample,443,B3-371,P0014_6600_0308_POS_B3-371_50-2uL_C18-25.5min_R105,SG-1
B3,QC,444,QC3-9,P0014_6600_0308_POS_QC3-9_50-2uL_C18-25.5min_R106,Invalid
B3,Blank,445,BLANK3-7,P0014_6600_0308_POS_BLANK3-8_50-2uL_C18-25.5min_R107,Invalid
B3,Sample,446,B3-373,P0014_6600_0308_POS_B3-373_50-2uL_C18-25.5min_R108,SG-0
B3,Sample,447,B3-374,P0014_6600_0308_POS_B3-374_50-2uL_C18-25.5min_R109,SG-1
B3,Sample,448,B3-376,P0014_6600_0308_POS_B3-376_50-2uL_C18-25.5min_R110,SG-1
B3,Sample,449,B3-377,P0014_6600_0308_POS_B3-377_50-2uL_C18-25.5min_R111,SG-2
B3,Sample,451,B3-380,P0014_6600_0308_POS_B3-380_50-2uL_C18-25.5min_R113,SG-1
B3,Sample,452,B3-381,P0014_6600_0308_POS_B3-381_50-2uL_C18-25.5min_R114,SG-1
B3,Sample,454,B3-383,P0014_6600_0308_POS_B3-383_50-2uL_C18-25.5min_R116,SG-1
B3,Sample,455,B3-384,P0014_6600_0308_POS_B3-384_50-2uL_C18-25.5min_R117,SG-1
B3,QC,456,QC3-10,P0014_6600_0308_POS_QC3-10_50-2uL_C18-25.5min_R118,Invalid
B3,Sample,458,B3-385,P0014_6600_0308_POS_B3-385_50-2uL_C18-25.5min_R120,SG-1
B3,Sample,459,B3-386,P0014_6600_0308_POS_B3-386_50-2uL_C18-25.5min_R121,SG-1
B3,Sample,460,B3-387,P0014_6600_0308_POS_B3-387_50-2uL_C18-25.5min_R122,SG-1
B3,Sample,463,B3-390,P0014_6600_0308_POS_B3-390_50-2uL_C18-25.5min_R125,SG-1
B3,Sample,464,B3-391,P0014_6600_0308_POS_B3-391_50-2uL_C18-25.5min_R126,SG-1
B3,Sample,465,B3-392,P0014_6600_0308_POS_B3-392_50-2uL_C18-25.5min_R127,SG-0
B3,Sample,466,B3-393,P0014_6600_0308_POS_B3-393_50-2uL_C18-25.5min_R128,SG-1
B3,Sample,467,B3-394,P0014_6600_0308_POS_B3-394_50-2uL_C18-25.5min_R129,SG-1
B3,QC,468,QC3-11,P0014_6600_0308_POS_QC3-11_50-2uL_C18-25.5min_R130,Invalid
B3,Sample,470,B3-397,P0014_6600_0308_POS_B3-397_50-2uL_C18-25.5min_R132,SG-1
B3,Sample,471,B3-399,P0014_6600_0308_POS_B3-399_50-2uL_C18-25.5min_R133,SG-1
B3,Sample,473,B3-402,P0014_6600_0308_POS_B3-402_50-2uL_C18-25.5min_R135,SG-0
B3,Sample,474,B3-403,P0014_6600_0308_POS_B3-403_50-2uL_C18-25.5min_R136,SG-1
B3,Sample,477,B3-407,P0014_6600_0308_POS_B3-407_50-2uL_C18-25.5min_R139,SG-0
B3,Sample,479,B3-410,P0014_6600_0308_POS_B3-410_50-2uL_C18-25.5min_R141,SG-0
B3,QC,480,QC3-12,P0014_6600_0308_POS_QC3-12_50-2uL_C18-25.5min_R142,Invalid
B3,Blank,481,BLANK3-8,P0014_6600_0308_POS_BLANK3-8_50-2uL_C18-25.5min_R143,Invalid
B3,Sample,482,B3-412,P0014_6600_0308_POS_B3-412_50-2uL_C18-25.5min_R144,SG-1
B3,Sample,483,B3-414,P0014_6600_0308_POS_B3-414_50-2uL_C18-25.5min_R145,SG-1
B3,Sample,484,B3-416,P0014_6600_0308_POS_B3-416_50-2uL_C18-25.5min_R146,SG-0
B3,Sample,485,B3-419,P0014_6600_0308_POS_B3-419_50-2uL_C18-25.5min_R147,SG-0
B3,Sample,486,B3-420,P0014_6600_0308_POS_B3-420_50-2uL_C18-25.5min_R148,SG-0
B3,Sample,487,B3-433,P0014_6600_0308_POS_B3-433_50-2uL_C18-25.5min_R149,SG-1
B3,Sample,488,B3-438,P0014_6600_0308_POS_B3-438_50-2uL_C18-25.5min_R150,SG-0
B3,Sample,490,B3-440,P0014_6600_0308_POS_B3-440_50-2uL_C18-25.5min_R152,SG-0
B3,Sample,491,B3-443,P0014_6600_0308_POS_B3-443_50-2uL_C18-25.5min_R153,SG-0
B3,QC,492,QC3-13,P0014_6600_0308_POS_QC3-13_50-2uL_C18-25.5min_R154,Invalid
B3,Sample,494,B3-057,P0014_6600_0308_POS_B3-057_50-2uL_C18-25.5min_R156,SG-2
B3,Sample,495,B3-062,P0014_6600_0308_POS_B3-062_50-2uL_C18-25.5min_R157,SG-0
B3,Sample,496,B3-066,P0014_6600_0308_POS_B3-066_50-2uL_C18-25.5min_R158,SG-0
B3,Sample,497,B3-067,P0014_6600_0308_POS_B3-067_50-2uL_C18-25.5min_R159,SG-2
B3,Sample,498,B3-068,P0014_6600_0308_POS_B3-068_50-2uL_C18-25.5min_R160,SG-0
B3,Sample,499,B3-069,P0014_6600_0308_POS_B3-069_50-2uL_C18-25.5min_R161,SG-1
B3,Sample,500,B3-070,P0014_6600_0308_POS_B3-070_50-2uL_C18-25.5min_R162,SG-1
B3,Sample,501,B3-071,P0014_6600_0308_POS_B3-071_50-2uL_C18-25.5min_R163,SG-1
B3,Sample,502,B3-076,P0014_6600_0308_POS_B3-076_50-2uL_C18-25.5min_R164,SG-1
B3,Sample,503,B3-077,P0014_6600_0308_POS_B3-077_50-2uL_C18-25.5min_R165,SG-0
B3,Sample,504,B3-079,P0014_6600_0308_POS_B3-079_50-2uL_C18-25.5min_R166,SG-0
B3,Sample,505,B3-080,P0014_6600_0308_POS_B3-080_50-2uL_C18-25.5min_R167,SG-0
B3,Sample,506,B3-081,P0014_6600_0308_POS_B3-081_50-2uL_C18-25.5min_R168,SG-0
B3,QC,507,QC3-14,P0014_6600_0308_POS_QC3-14_50-2uL_C18-25.5min_R169,Invalid
B3,Sample,509,B3-002,P0014_6600_0308_POS_B3-002_50-2uL_C18-25.5min_R171,SG-0
B3,Sample,510,B3-003,P0014_6600_0308_POS_B3-003_50-2uL_C18-25.5min_R172,SG-1
B3,Sample,511,B3-172,P0014_6600_0308_POS_B3-172_50-2uL_C18-25.5min_R173,SG-0
B3,Sample,512,B3-178,P0014_6600_0308_POS_B3-178_50-2uL_C18-25.5min_R174,SG-1
B3,Sample,513,B3-242,P0014_6600_0308_POS_B3-242_50-2uL_C18-25.5min_R175,SG-0
B3,Sample,514,B3-346,P0014_6600_0308_POS_B3-346_50-2uL_C18-25.5min_R176,SG-0
B3,Sample,515,B3-313,P0014_6600_0308_POS_B3-313_50-2uL_C18-25.5min_R177,SG-0
B3,Sample,516,B3-333,P0014_6600_0308_POS_B3-333_50-2uL_C18-25.5min_R178,SG-0
B3,Sample,517,B3-334,P0014_6600_0308_POS_B3-334_50-2uL_C18-25.5min_R179,SG-0
B3,Sample,518,B3-338,P0014_6600_0308_POS_B3-338_50-2uL_C18-25.5min_R180,SG-0
B3,Sample,519,B3-339,P0014_6600_0308_POS_B3-339_50-2uL_C18-25.5min_R181,SG-0
B3,Sample,520,B3-341,P0014_6600_0308_POS_B3-341_50-2uL_C18-25.5min_R182,SG-1
B3,Sample,521,B3-347,P0014_6600_0308_POS_B3-347_50-2uL_C18-25.5min_R183,SG-1
B3,Sample,522,B3-349,P0014_6600_0308_POS_B3-349_50-2uL_C18-25.5min_R184,SG-0
B3,Sample,523,B3-355,P0014_6600_0308_POS_B3-355_50-2uL_C18-25.5min_R185,SG-2
B3,QC,524,QC3-15,P0014_6600_0308_POS_QC3-15_50-2uL_C18-25.5min_R186,Invalid
B3,Sample,526,B3-356,P0014_6600_0308_POS_B3-356_50-2uL_C18-25.5min_R188,SG-0
B3,Sample,527,B3-360,P0014_6600_0308_POS_B3-360_50-2uL_C18-25.5min_R189,SG-0
B3,Sample,528,B3-361,P0014_6600_0308_POS_B3-361_50-2uL_C18-25.5min_R190,SG-0
B3,Sample,529,B3-368,P0014_6600_0308_POS_B3-368_50-2uL_C18-25.5min_R191,SG-1
B3,Sample,530,B3-369,P0014_6600_0308_POS_B3-369_50-2uL_C18-25.5min_R192,SG-2
B3,Sample,531,B3-370,P0014_6600_0308_POS_B3-370_50-2uL_C18-25.5min_R193,SG-1
B3,Sample,532,B3-379,P0014_6600_0308_POS_B3-379_50-2uL_C18-25.5min_R194,SG-0
B3,Sample,533,B3-382,P0014_6600_0308_POS_B3-382_50-2uL_C18-25.5min_R195,SG-1
B3,Sample,534,B3-388,P0014_6600_0308_POS_B3-388_50-2uL_C18-25.5min_R196,SG-1
B3,Sample,535,B3-389,P0014_6600_0308_POS_B3-389_50-2uL_C18-25.5min_R197,SG-1
B3,Sample,536,B3-400,P0014_6600_0308_POS_B3-400_50-2uL_C18-25.5min_R198,SG-0
B3,Sample,537,B3-405,P0014_6600_0308_POS_B3-405_50-2uL_C18-25.5min_R199,SG-0
B3,Sample,538,B3-406,P0014_6600_0308_POS_B3-406_50-2uL_C18-25.5min_R200,SG-0
B3,Sample,539,B3-409,P0014_6600_0308_POS_B3-409_50-2uL_C18-25.5min_R201,SG-2
B3,Sample,540,B3-439,P0014_6600_0308_POS_B3-439_50-2uL_C18-25.5min_R202,SG-0
B3,QC,541,QC3-16,P0014_6600_0308_POS_QC3-16_50-2uL_C18-25.5min_R203,Invalid
